Store,date,Sales,Open,Promo,Promo2,SchoolHoliday,CompetitionDistance,CompetitionActive,StateHoliday,StoreType,Assortment,PromoInterval
1115,2013-01-01,0,0,0,1,1,5350.0,0,a,d,c,"Mar,Jun,Sept,Dec"
71,2013-01-01,0,0,0,1,1,16160.0,0,a,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-01,4220,1,0,0,1,1870.0,0,a,b,a,No_Promo2
102,2013-01-01,0,0,0,1,1,150.0,0,a,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-01,0,0,0,1,1,6190.0,0,a,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-01,0,0,0,0,1,3160.0,0,a,a,a,No_Promo2
57,2013-01-01,0,0,0,0,1,420.0,0,a,d,c,No_Promo2
50,2013-01-01,0,0,0,0,1,6260.0,0,a,d,a,No_Promo2
49,2013-01-01,0,0,0,0,1,16160.0,0,a,d,c,No_Promo2
1086,2013-01-01,0,0,0,1,1,180.0,0,a,a,a,"Feb,May,Aug,Nov"
85,2013-01-02,6069,1,0,0,1,1870.0,0,0,b,a,No_Promo2
71,2013-01-02,7041,1,0,1,1,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-02,6676,1,0,1,1,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-02,2326,1,0,1,1,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-02,4812,1,0,0,1,3160.0,0,0,a,a,No_Promo2
57,2013-01-02,10719,1,0,0,1,420.0,0,0,d,c,No_Promo2
50,2013-01-02,3804,1,0,0,1,6260.0,0,0,d,a,No_Promo2
49,2013-01-02,5866,1,0,0,1,16160.0,0,0,d,c,No_Promo2
1115,2013-01-02,3697,1,0,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-02,9308,1,0,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
71,2013-01-03,7246,1,0,1,1,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-03,5246,1,0,0,1,1870.0,0,0,b,a,No_Promo2
102,2013-01-03,5714,1,0,1,1,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-03,1811,1,0,1,1,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-03,4675,1,0,0,1,3160.0,0,0,a,a,No_Promo2
57,2013-01-03,9988,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-03,3388,1,0,0,1,6260.0,0,0,d,a,No_Promo2
49,2013-01-03,4622,1,0,0,1,16160.0,0,0,d,c,No_Promo2
1115,2013-01-03,4297,1,0,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-03,9210,1,0,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-04,5339,1,0,0,1,1870.0,0,0,b,a,No_Promo2
71,2013-01-04,7737,1,0,1,1,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-04,6174,1,0,1,1,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-04,2005,1,0,1,1,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-04,5114,1,0,0,1,3160.0,0,0,a,a,No_Promo2
57,2013-01-04,10222,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-04,3764,1,0,0,1,6260.0,0,0,d,a,No_Promo2
49,2013-01-04,5250,1,0,0,1,16160.0,0,0,d,c,No_Promo2
1115,2013-01-04,4540,1,0,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-04,8489,1,0,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
71,2013-01-05,7263,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-05,5774,1,0,0,0,1870.0,0,0,b,a,No_Promo2
102,2013-01-05,7024,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-05,1465,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-05,4256,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-05,8112,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-05,4380,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-05,5937,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-05,6024,1,0,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-05,4771,1,0,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-06,10509,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-06,0,0,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-06,0,0,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-06,0,0,0,1,0,6190.0,0,a,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-06,0,0,0,0,0,3160.0,0,0,a,a,No_Promo2
