Store,date,Sales
1115,2013-01-01,0
71,2013-01-01,0
85,2013-01-01,4220
102,2013-01-01,0
105,2013-01-01,0
10,2013-01-01,0
57,2013-01-01,0
50,2013-01-01,0
49,2013-01-01,0
1086,2013-01-01,0
85,2013-01-02,6069
71,2013-01-02,7041
102,2013-01-02,6676
105,2013-01-02,2326
10,2013-01-02,4812
57,2013-01-02,10719
50,2013-01-02,3804
49,2013-01-02,5866
1115,2013-01-02,3697
1086,2013-01-02,9308
71,2013-01-03,7246
85,2013-01-03,5246
102,2013-01-03,5714
105,2013-01-03,1811
10,2013-01-03,4675
57,2013-01-03,9988
50,2013-01-03,3388
49,2013-01-03,4622
1115,2013-01-03,4297
1086,2013-01-03,9210
85,2013-01-04,5339
71,2013-01-04,7737
102,2013-01-04,6174
105,2013-01-04,2005
10,2013-01-04,5114
57,2013-01-04,10222
50,2013-01-04,3764
49,2013-01-04,5250
1115,2013-01-04,4540
1086,2013-01-04,8489
71,2013-01-05,7263
85,2013-01-05,5774
102,2013-01-05,7024
105,2013-01-05,1465
10,2013-01-05,4256
57,2013-01-05,8112
50,2013-01-05,4380
49,2013-01-05,5937
1086,2013-01-05,6024
1115,2013-01-05,4771
85,2013-01-06,10509
71,2013-01-06,0
102,2013-01-06,0
105,2013-01-06,0
10,2013-01-06,0
57,2013-01-06,0
50,2013-01-06,0
49,2013-01-06,0
1086,2013-01-06,0
1115,2013-01-06,0
85,2013-01-07,8990
71,2013-01-07,13634
102,2013-01-07,11789
105,2013-01-07,2714
10,2013-01-07,7804
57,2013-01-07,19314
50,2013-01-07,6298
49,2013-01-07,8731
1086,2013-01-07,16229
1115,2013-01-07,6905
85,2013-01-08,7300
71,2013-01-08,10289
102,2013-01-08,9863
105,2013-01-08,2085
10,2013-01-08,5394
57,2013-01-08,14203
50,2013-01-08,4734
49,2013-01-08,7290
1115,2013-01-08,5243
1086,2013-01-08,13425
85,2013-01-09,6523
71,2013-01-09,9952
102,2013-01-09,7407
105,2013-01-09,1944
10,2013-01-09,5696
57,2013-01-09,11842
50,2013-01-09,3615
49,2013-01-09,6532
1115,2013-01-09,4649
1086,2013-01-09,11046
85,2013-01-10,7434
71,2013-01-10,9819
102,2013-01-10,8698
105,2013-01-10,2046
10,2013-01-10,5419
57,2013-01-10,12947
50,2013-01-10,4176
49,2013-01-10,6399
1086,2013-01-10,11748
1115,2013-01-10,5007
85,2013-01-11,7132
71,2013-01-11,11501
102,2013-01-11,7995
105,2013-01-11,2257
10,2013-01-11,5556
57,2013-01-11,12230
50,2013-01-11,4608
49,2013-01-11,7062
1115,2013-01-11,5142
1086,2013-01-11,10174
85,2013-01-12,5198
71,2013-01-12,7841
102,2013-01-12,6418
105,2013-01-12,1383
10,2013-01-12,4402
57,2013-01-12,7309
50,2013-01-12,4395
49,2013-01-12,6127
1115,2013-01-12,4497
1086,2013-01-12,5749
85,2013-01-13,10584
71,2013-01-13,0
102,2013-01-13,0
105,2013-01-13,0
10,2013-01-13,0
57,2013-01-13,0
50,2013-01-13,0
49,2013-01-13,0
1115,2013-01-13,0
1086,2013-01-13,0
85,2013-01-14,5616
71,2013-01-14,5386
102,2013-01-14,5323
